0,Rank,Song,Artist,Year
2462,62,i dont want your love,duran duran,1989
2463,63,second chance,38 special,1989
2464,64,the way you love me,karyn white,1989
2465,65,funky cold medina,tone loc,1989
2466,66,in your room,the bangles,1989
2467,67,miss you like crazy,natalie cole,1989
2468,68,lovesong,the cure,1989
2469,69,secret rendezvous,karyn white,1989
2470,70,angel eyes,the jeff healey band,1989
2471,71,patience,guns n roses,1989
2472,72,walk on water,eddie money,1989
2473,73,cover girl,new kids on the block,1989
2474,74,welcome to the jungle,guns n roses,1989
2475,75,shower me with your love,surface,1989
2476,76,stand,rem,1989
2477,77,close my eyes forever,lita ford and ozzy osbourne,1989
2478,78,all this time,tiffany,1989
2479,79,after all,cher and peter cetera,1989
2480,80,roni,bobby brown,1989
2481,81,love in an elevator,aerosmith,1989
2482,82,lay your hands on me,bon jovi,1989
2483,83,the promise,when in rome,1989
2484,84,what i am,edie brickell  new bohemians,1989
2485,85,i remember holding you,boys club,1989
2486,86,paradise city,guns n roses,1989
2487,87,i wanna have some fun,samantha fox,1989
2488,88,she wants to dance with me,rick astley,1989
2489,89,dreamin,vanessa williams,1989
2490,90,its no crime,babyface,1989
2491,91,poison,alice cooper,1989
2492,92,this time i know its for real,donna summer,1989
2493,93,smooth criminal,michael jackson,1989
2494,94,heaven help me,deon estus,1989
2495,95,rock witcha,bobby brown,1989
2496,96,thinking of you,safire,1989
2497,97,what you dont know,expose,1989
2498,98,surrender to me,ann wilson and robin zander,1989
2499,99,the end of the innocence,don henley,1989
2500,100,keep on movin,soul ii soul,1989
2501,1,hold on,wilson phillips,1990
2502,2,it must have been love,roxette,1990
2503,3,nothing compares 2 u,sinead oconnor,1990
2504,4,poison,bell biv devoe,1990
2505,5,vogue,madonna,1990
2506,6,vision of love,mariah carey,1990
2507,7,another day in paradise,phil collins,1990
2508,8,hold on,en vogue,1990
2509,9,cradle of love,billy idol,1990
2510,10,blaze of glory,jon bon jovi,1990
2511,11,do me,bell biv devoe,1990
2512,12,how am i supposed to live without you,michael bolton,1990
2513,13,pump up the jam,technotronic featuring felly,1990
2514,14,opposites attract,paula abdul and the wild pair,1990
2515,15,escapade,janet jackson,1990
2516,16,all i wanna do is make love to you,heart,1990
2517,17,close to you,maxi priest,1990
2518,18,black velvet,alannah myles,1990
2519,19,release me,wilson phillips,1990
2520,20,dont know much,linda ronstadt and aaron neville,1990
2521,21,all around the world,lisa stansfield,1990
2522,22,i wanna be rich,calloway,1990
2523,23,rub you the right way,johnny gill,1990
2524,24,she aint worth it,glenn medeiros and bobby brown,1990
2525,25,if wishes came true,sweet sensation,1990
2526,26,the power,snap,1990
2527,27,cant live without your love and affection,nelson,1990
2528,28,love will lead you back,taylor dayne,1990
2529,29,dont wanna fall in love,jane child,1990
2530,30,two to make it right,seduction,1990
2531,31,sending all my love,linear,1990
2532,32,unskinny bop,poison,1990
2533,33,step by step,new kids on the block,1990
2534,34,dangerous,roxette,1990
2535,35,we didnt start the fire,billy joel,1990
2536,36,i dont have the heart,james ingram,1990
2537,37,downtown train,rod stewart,1990
2538,38,rhythm nation,janet jackson,1990
2539,39,ill be your everything,tommy page,1990
2540,40,roam,the b52s,1990
2541,41,everything,jody watley,1990
2542,42,back to life however do you want me,soul ii soul featuring caron wheeler,1990
2543,43,here and now,luther vandross,1990
2544,44,alright,janet jackson,1990
2545,45,ice ice baby,vanilla ice,1990
2546,46,blame it on the rain,milli vanilli,1990
2547,47,have you seen her,mc hammer,1990
2548,48,with every beat of my heart,taylor dayne,1990
2549,49,come back to me,janet jackson,1990
2550,50,no more lies,michelle,1990
2551,51,praying for time,george michael,1990
2552,52,how can we be lovers,michael bolton,1990
2553,53,do you remember,phil collins,1990
2554,54,ready or not,after 7,1990
2555,55,u cant touch this,mc hammer,1990
2556,56,i wish it would rain down,phil collins,1990
2557,57,just between you and me,lou gramm,1990
2558,58,something happened on the way to heaven,phil collins,1990
2559,59,black cat,janet jackson,1990
2560,60,cant stop,after 7,1990
2561,61,janies got a gun,aerosmith,1990
2562,62,the humpty dance,digital underground,1990
2563,63,ill be your shelter,taylor dayne,1990
2564,64,free fallin,tom petty,1990
2565,65,giving you the benefit,pebbles,1990
2566,66,enjoy the silence,depeche mode,1990
2567,67,love song,tesla,1990
2568,68,price of love,bad english,1990
2569,69,girls nite out,tyler collins,1990
2570,70,king of wishful thinking,go west,1990
2571,71,what kind of man would i be,chicago,1990
2572,72,i remember you,skid row,1990
2573,73,get up before the night is over,technotronic featuring ya kid k,1990
2574,74,here we are,gloria estefan,1990
2575,75,epic,faith no more,1990
2576,76,love takes time,mariah carey,1990
2577,77,just like jesse james,cher,1990
2578,78,love shack,the b52s,1990
2579,79,all or nothing,milli vanilli,1990
2580,80,romeo,dino,1990
2581,81,everybody everybody,black box,1990
2582,82,i go to extremes,billy joel,1990
2583,83,whip appeal,babyface,1990
2584,84,oh girl,paul young,1990
2585,85,cmon and get my love,d mob featuring cathy dennis,1990
2586,86,its just the way that you love me,paula abdul,1990
2587,87,we cant go wrong,the cover girls,1990
2588,88,when im back on my feet again,michael bolton,1990
2589,89,make you sweat,keith sweat,1990
2590,90,this ones for the children,new kids on the block,1990
2591,91,what it takes,aerosmith,1990
2592,92,forever,kiss,1990
2593,93,jerk out,the time,1990
2594,94,just a friend,biz markie,1990
2595,95,whole wide world,ame lorain,1990
2596,96,without you,"m""otley cr""ue",1990
2597,97,swing the mood,jive bunny and the mastermixers,1990
2598,98,thieves in the temple,prince,1990
2599,99,mentirosa,mellow man ace,1990
2600,100,tictactoe,kyper,1990
2601,1,everything i do i do it for you,bryan adams,1991
2602,2,i wanna sex you up,color me badd,1991
2603,3,gonna make you sweat everybody dance now,cc music factory,1991
2604,4,rush rush,paula abdul,1991
2605,5,one more try,timmy t,1991
2606,6,unbelievable,emf,1991
2607,7,more than words,extreme,1991
2608,8,i like the way the kissing game,hifive,1991
2609,9,the first time,surface,1991
2610,10,baby baby,amy grant,1991
2611,11,motownphilly,boyz ii men,1991
2612,12,because i love you the postman song,stevie b,1991
2613,13,someday,mariah carey,1991
2614,14,high enough,damn yankees,1991
2615,15,from a distance,bette midler,1991
2616,16,all the man that i need,whitney houston,1991
2617,17,right here right now,jesus jones,1991
2618,18,i adore mi amor,color me badd,1991
2619,19,love will never do without you,janet jackson,1991
2620,20,good vibrations,marky mark and the funky bunch featuring loleatta holloway,1991
2621,21,justify my love,madonna,1991
2622,22,emotions,mariah carey,1991
2623,23,joyride,roxette,1991
2624,24,romantic,karyn white,1991
2625,25,hold you tight,tara kemp,1991
2626,26,i dont wanna cry,mariah carey,1991
2627,27,youre in love,wilson phillips,1991
2628,28,every heartbeat,amy grant,1991
2629,29,sensitivity,ralph tresvant,1991
2630,30,touch me all night long,cathy dennis,1991
2631,31,ive been thinking about you,londonbeat,1991
2632,32,do anything,natural selection,1991
2633,33,losing my religion,rem,1991
2634,34,coming out of the dark,gloria estefan,1991
2635,35,here we go,cc music factory,1991
2636,36,it aint over til its over,lenny kravitz,1991
2637,37,where does my heart beat now,celine dion,1991
2638,38,summertime,dj jazzy jeff  the fresh prince,1991
2639,39,wind of change,scorpions,1991
2640,40,passion,rythm syndicate,1991
2641,41,the promise of a new day,paula abdul,1991
2642,42,im your baby tonight,whitney houston,1991
2643,43,love of a lifetime,firehouse,1991
2644,44,fading like a flower every time you leave,roxette,1991
2645,45,this house,tracie spencer,1991
2646,46,hole hearted,extreme,1991
2647,47,power of lovelove power,luther vandross,1991
2648,48,impulsive,wilson phillips,1991
2649,49,love is a wonderful thing,michael bolton,1991
2650,50,rhythm of my heart,rod stewart,1991
2651,51,things that make you go hmmm,cc music factory,1991
2652,52,i touch myself,divinyls,1991
2653,53,toms diner,dna featuring suzanne vega,1991
2654,54,iesha,another bad creation,1991
2655,55,something to talk about,bonnie raitt,1991
2656,56,after the rain,nelson,1991
2657,57,play that funky music,vanilla ice,1991
2658,58,temptation,corina,1991
2659,59,cant stop this thing we started,bryan adams,1991
2660,60,i cant wait another minute,hifive,1991
2661,61,3 am eternal,the klf,1991
2662,62,time love and tenderness,michael bolton,1991
2663,63,sadeness part i,enigma,1991
2664,64,around the way girl,ll cool j,1991
2665,65,ill be there,the escape club,1991
2666,66,cream,prince and the new power generation,1991
2667,67,now that we found love,heavy d  the boyz,1991
2668,68,show me the way,styx,1991
2669,69,love takes time,mariah carey,1991
2670,70,cry for help,rick astley,1991
2671,71,the way you do the things you do,ub40,1991
2672,72,here i am come and take me,ub40,1991
2673,73,signs,tesla,1991
2674,74,too many walls,cathy dennis,1991
2675,75,crazy,seal,1991
2676,76,ill give all my love to you,keith sweat,1991
2677,77,place in this world,michael w smith,1991
2678,78,something to believe in,poison,1991
2679,79,wicked game,chris isaak,1991
2680,80,get here,oleta adams,1991
2681,81,round and round,tevin campbell,1991
2682,82,silent lucidity,"queensr""yche",1991
2683,83,im not in love,will to power,1991
2684,84,piece of my heart,tara kemp,1991
2685,85,real real real,jesus jones,1991
2686,86,just another dream,cathy dennis,1991
2687,87,everybody plays the fool,aaron neville,1991
2688,88,strike it up,black box,1991
2689,89,rico suave,gerardo,1991
2690,90,disappear,inxs,1991
2691,91,groove is in the heart,deeelite,1991
2692,92,all this time,sting,1991
2693,93,the one and only,chesney hawkes,1991
2694,94,opp,naughty by nature,1991
2695,95,freedom 90,george michael,1991
2696,96,i saw red,warrant,1991
2697,97,miles away,winger,1991
2698,98,do you want me,saltnpepa,1991
2699,99,the motown song,rod stewart,1991
2700,100,shiny happy people,rem,1991
2701,1,end of the road,boyz ii men,1992
2702,2,baby got back,sir mixalot,1992
2703,3,jump,kris kross,1992
2704,4,save the best for last,vanessa williams,1992
2705,5,babybabybaby,tlc,1992
2706,6,tears in heaven,eric clapton,1992
2707,7,my lovin youre never gonna get it,en vogue,1992
2708,8,under the bridge,red hot chili peppers,1992
2709,9,all 4 love,color me badd,1992
2710,10,just another day,jon secada,1992
2711,11,i love your smile,shanice,1992
2712,12,to be with you,mr big,1992
2713,13,im too sexy,right said fred,1992
2714,14,black or white,michael jackson,1992
2715,15,achy breaky heart,billy ray cyrus,1992
2716,16,ill be there,mariah carey,1992
2717,17,november rain,guns n roses,1992
2718,18,life is a highway,tom cochrane,1992
2719,19,remember the time,michael jackson,1992
2720,20,finally,cece peniston,1992
2721,21,this used to be my playground,madonna,1992
2722,22,sometimes love just aint enough,patty smyth,1992
2723,23,cant let go,mariah carey,1992
2724,24,jump around,house of pain,1992
2725,25,diamonds and pearls,prince and the new power generation,1992
2726,26,dont let the sun go down on me,george michael and elton john,1992
2727,27,masterpiece,atlantic starr,1992
2728,28,if you asked me to,celine dion,1992
2729,29,giving him something he can feel,en vogue,1992
2730,30,live and learn,joe public,1992
2731,31,come and talk to me,jodeci,1992
2732,32,smells like teen spirit,nirvana,1992
2733,33,humpin around,bobby brown,1992
2734,34,damn i wish i was your lover,sophie b hawkins,1992
2735,35,tell me what you want me to do,tevin campbell,1992
2736,36,aint 2 proud 2 beg,tlc,1992
2737,37,its so hard to say goodbye to yesterday,boyz ii men,1992
2738,38,move this,technotronic featuring ya kid k,1992
2739,39,bohemian rhapsody,queen,1992
2740,40,tennessee,arrested development,1992
2741,41,the best things in life are free,luther vandross and janet jackson,1992
2742,42,make it happen,mariah carey,1992
2743,43,the one,elton john,1992
2744,44,set adrift on memory bliss,pm dawn,1992
2745,45,stay,shakespears sister,1992
2746,46,2 legit 2 quit,hammer,1992
2747,47,please dont go,kws,1992
2748,48,breakin my heart pretty brown eyes,mint condition,1992
2749,49,wishing on a star,the cover girls,1992
2750,50,shes playing hard to get,hifive,1992
2751,51,id die without you,pm dawn,1992
2752,52,good for me,amy grant,1992
2753,53,all i want,toad the wet sprocket,1992
2754,54,when a man loves a woman,michael bolton,1992
2755,55,i cant dance,genesis,1992
2756,56,hazard,richard marx,1992
2757,57,mysterious ways,u2,1992
2758,58,too funky,george michael,1992
2759,59,how do you talk to an angel,the heights,1992
2760,60,one,u2,1992
2761,61,keep on walkin,cece peniston,1992
2762,62,hold on my heart,genesis,1992
2763,63,the way i feel about you,karyn white,1992
2764,64,beauty and the beast,celine dion and peabo bryson,1992
2765,65,warm it up,kris kross,1992
2766,66,in the closet,michael jackson,1992
2767,67,people everyday,arrested development,1992
2768,68,no son of mine,genesis,1992
2769,69,wildside,marky mark and the funky bunch,1992
2770,70,do i have to say the words,bryan adams,1992
2771,71,friday im in love,the cure,1992
2772,72,everything about you,ugly kid joe,1992
2773,73,blowing kisses in the wind,paula abdul,1992
2774,74,thought id died and gone to heaven,bryan adams,1992
2775,75,rhythm is a dancer,snap,1992
2776,76,addams groove,hammer,1992
2777,77,missing you now,michael bolton,1992
2778,78,back to the hotel,n2deep,1992
2779,79,everything changes,kathy troccoli,1992
2780,80,have you ever needed someone so bad,def leppard,1992
2781,81,take this heart,richard marx,1992
2782,82,when i look into your eyes,firehouse,1992
2783,83,i wanna love you,jade,1992
2784,84,uhh ahh,boyz ii men,1992
2785,85,real love,mary j blige,1992
2786,86,justified and ancient,the klf,1992
2787,87,slow motion,color me badd,1992
2788,88,what about your friends,tlc,1992
2789,89,thinkin back,color me badd,1992
2790,90,would i lie to you,charles  eddie,1992
2791,91,thats what love is for,amy grant,1992
2792,92,keep coming back,richard marx,1992
2793,93,free your mind,en vogue,1992
2794,94,keep it comin,keith sweat,1992
2795,95,just take my heart,mr big,1992
2796,96,i will remember you,amy grant,1992
2797,97,we got a love thang,cece peniston,1992
2798,98,lets get rocked,def leppard,1992
2799,99,they want efx,das efx,1992
2800,100,i cant make you love me,bonnie raitt,1992
2801,1,i will always love you,whitney houston,1993
2802,2,whoomp there it is,tag team,1993
2803,3,cant help falling in love,ub40,1993
2804,4,thats the way love goes,janet jackson,1993
2805,5,freak me,silk,1993
2806,6,weak,swv,1993
2807,7,if i ever fall in love,shai,1993
2808,8,dreamlover,mariah carey,1993
2809,9,rump shaker,wreckxneffect,1993
2810,10,informer,snow,1993
2811,11,nuthin but a g thang,dr dre,1993
2812,12,in the still of the nite,boyz ii men,1993
2813,13,dont walk away,jade,1993
2814,14,knockin da boots,htown,1993
2815,15,lately,jodeci,1993
2816,16,dazzey duks,duice,1993
2817,17,show me love,robin s,1993
2818,18,a whole new world,peabo bryson and regina belle,1993
2819,19,if,janet jackson,1993
2820,20,im so into you,swv,1993
2821,21,love is,vanessa williams and brian mcknight,1993
2822,22,runaway train,soul asylum,1993
2823,23,ill never get over you getting over me,expose,1993
2824,24,ditty,paperboy,1993
2825,25,rhythm is a dancer,snap,1993
2826,26,the river of dreams,billy joel,1993
2827,27,im gonna be 500 miles,the proclaimers,1993
2828,28,two princes,spin doctors,1993
2829,29,right here,swv,1993
2830,30,i have nothing,whitney houston,1993
2831,31,mr wendal,arrested development,1993
2832,32,have i told you lately,rod stewart,1993
2833,33,saving forever for you,shanice,1993
2834,34,ordinary world,duran duran,1993
2835,35,if i had no loot,tony toni tone,1993
2836,36,id do anything for love but i wont do that,meat loaf,1993
2837,37,slam,onyx,1993
2838,38,looking through patient eyes,pm dawn,1993
2839,39,im every woman,whitney houston,1993
2840,40,baby im yours,shai,1993
2841,41,come undone,duran duran,1993
2842,42,i dont wanna fight,tina turner,1993
2843,43,id die without you,pm dawn,1993
2844,44,whoot there it is,95 south,1993
2845,45,hip hop hooray,naughty by nature,1993
2846,46,another sad love song,toni braxton,1993
2847,47,will you be there,michael jackson,1993
2848,48,comforter,shai,1993
2849,49,good enough,bobby brown,1993
2850,50,whats up,4 non blondes,1993
2851,51,all that she wants,ace of base,1993
2852,52,7,prince and the new power generation,1993
2853,53,dre day,dr dre featuring snoop doggy dogg,1993
2854,54,one last cry,brian mcknight,1993
2855,55,just kickin it,xscape,1993
2856,56,i get around,2pac,1993
2857,57,bed of roses,bon jovi,1993
2858,58,real love,mary j blige,1993
2859,59,here we go again,portrait,1993
2860,60,cryin,aerosmith,1993
2861,61,cats in the cradle,ugly kid joe,1993
2862,62,what about your friends,tlc,1993
2863,63,i got a man,positive k,1993
2864,64,hey mr dj,zhane,1993
2865,65,insane in the brain,cypress hill,1993
2866,66,deeper and deeper,madonna,1993
2867,67,rain,madonna,1993
2868,68,the right kind of love,jeremy jordan,1993
2869,69,bad boys,inner circle,1993
2870,70,thats what love can do,boy krazy,1993
2871,71,do you believe in us,jon secada,1993
2872,72,angel,jon secada,1993
2873,73,forever in love,kenny g,1993
2874,74,again,janet jackson,1993
2875,75,boom shake the room,dj jazzy jeff  the fresh prince,1993
2876,76,when she cries,restless heart,1993
2877,77,sweat a la la la la long,inner circle,1993
2878,78,it was a good day,ice cube,1993
2879,79,more and more,captain hollywood project,1993
2880,80,how do you talk to an angel,the heights,1993
2881,81,rebirth of slick cool like dat,digable planets,1993
2882,82,what is love,haddaway,1993
2883,83,to love somebody,michael bolton,1993
2884,84,give it up turn it loose,en vogue,1993
2885,85,alright,kris kross,1993
2886,86,check yo self,ice cube featuring das efx,1993
2887,87,fields of gold,sting,1993
2888,88,ooh child,dino,1993
2889,89,faithful,go west,1993
2890,90,reason to believe,rod stewart,1993
2891,91,break it down again,tears for fears,1993
2892,92,nothin my love cant fix,joey lawrence,1993
2893,93,three little pigs,"green jell""y",1993
2894,94,livin on the edge,aerosmith,1993
2895,95,hey jealousy,gin blossoms,1993
2896,96,if i ever lose my faith in you,sting,1993
2897,97,anniversary,tony toni tone,1993
2898,98,one woman,jade,1993
2899,99,cant get enough of your love,taylor dayne,1993
2900,100,two steps behind,def leppard,1993
2901,1,the sign,ace of base,1994
2902,2,i swear,all4one,1994
2903,3,ill make love to you,boyz ii men,1994
2904,4,the power of love,celine dion,1994
2905,5,hero,mariah carey,1994
2906,6,stay i missed you,lisa loeb and nine stories,1994
2907,7,breathe again,toni braxton,1994
2908,8,all for love,bryan adams rod stewart and sting,1994
2909,9,all that she wants,ace of base,1994
2910,10,dont turn around,ace of base,1994
2911,11,bump n grind,r kelly,1994
2912,12,again,janet jackson,1994
2913,13,ill remember,madonna,1994
2914,14,whatta man,saltnpepa and en vogue,1994
2915,15,wild night,john mellencamp featuring meshell ndegeocello,1994
2916,16,without you  never forget you,mariah carey,1994
2917,17,you mean the world to me,toni braxton,1994
2918,18,can you feel the love tonight,elton john,1994
2919,19,the most beautiful girl in the world,prince,1994
2920,20,fantastic voyage,coolio,1994
2921,21,baby i love your way,big mountain,1994
2922,22,regulate,warren g featuring nate dogg,1994
2923,23,if you go,jon secada,1994
2924,24,back  forth,aaliyah,1994
2925,25,now and forever,richard marx,1994
2926,26,when can i see you,babyface,1994
2927,27,please forgive me,bryan adams,1994
2928,28,so much in love,all4one,1994
2929,29,shoop,saltnpepa,1994
2930,30,any time any place,janet jackson,1994
2931,31,shine,collective soul,1994
2932,32,said i loved youbut i lied,michael bolton,1994
2933,33,return to innocence,enigma,1994
2934,34,all i wanna do,sheryl crow,1994
2935,35,mmm mmm mmm mmm,crash test dummies,1994
2936,36,can we talk,tevin campbell,1994
2937,37,funkdafied,da brat,1994
2938,38,id do anything for love but i wont do that,meat loaf,1994
2939,39,gangsta lean,drs,1994
2940,40,because the night,10000 maniacs,1994
2941,41,cantaloop flip fantasia,us3,1994
2942,42,whoomp there it is,tag team,1994
2943,43,come to my window,melissa etheridge,1994
2944,44,stroke you up,changing faces,1994
2945,45,im ready,tevin campbell,1994
2946,46,100 pure love,crystal waters,1994
2947,47,anytime you need a friend,mariah carey,1994
2948,48,because of love,janet jackson,1994
2949,49,linger,the cranberries,1994
2950,50,loser,beck,1994
2951,51,found out about you,gin blossoms,1994
2952,52,gin and juice,snoop doggy dogg,1994
2953,53,never lie,immature,1994
2954,54,streets of philadelphia,bruce springsteen,1994
2955,55,getto jam,domino,1994
2956,56,endless love,luther vandross and mariah carey,1994
2957,57,i miss you,aaron hall,1994
2958,58,understanding,xscape,1994
2959,59,this dj,warren g,1994
2960,60,cry for you,jodeci,1994
2961,61,keep ya head up,2pac,1994
2962,62,whats my name,snoop doggy dogg,1994
2963,63,another night,real mccoy,1994
2964,64,your bodys callin,r kelly,1994
2965,65,tootsee roll,69 boyz,1994
2966,66,i can see clearly now,jimmy cliff,1994
2967,67,never keeping secrets,babyface,1994
2968,68,crazy,aerosmith,1994
2969,69,just kickin it,xscape,1994
2970,70,at your best you are love,aaliyah,1994
2971,71,rock and roll dreams come through,meat loaf,1994
2972,72,amazing,aerosmith,1994
2973,73,always,erasure,1994
2974,74,groove thang,zhane,1994
2975,75,dreams,gabrielle,1994
2976,76,mr vain,culture beat,1994
2977,77,mary janes last dance,tom petty and the heartbreakers,1994
2978,78,anything,swv,1994
2979,79,beautiful in my eyes,joshua kadison,1994
2980,80,stay,eternal,1994
2981,81,flava in ya ear,craig mack,1994
2982,82,unity,queen latifah,1994
2983,83,prayer for the dying,seal,1994
2984,84,secret,madonna,1994
2985,85,here comes the hotstepper,ini kamoze,1994
2986,86,everyday,phil collins,1994
2987,87,dont take the girl,tim mcgraw,1994
2988,88,got me waiting,heavy d  the boyz,1994
2989,89,december 1963 oh what a night,the four seasons,1994
2990,90,indian outlaw,tim mcgraw,1994
2991,91,always,bon jovi,1994
2992,92,far behind,candlebox,1994
2993,93,back in the day,ahmad,1994
2994,94,love sneakin up on you,bonnie raitt,1994
2995,95,ill take you there,general public,1994
2996,96,always in my heart,tevin campbell,1994
2997,97,what is love,haddaway,1994
2998,98,and our feelings,babyface,1994
2999,99,bop gun one nation,ice cube featuring george clinton,1994
3000,100,i wanna be down,brandy,1994
3001,1,gangstas paradise,coolio featuring lv,1995
3002,2,waterfalls,tlc,1995
3003,3,creep,tlc,1995
3004,4,kiss from a rose,seal,1995
3005,5,on bended knee,boyz ii men,1995
3006,6,another night,real mccoy,1995
3007,7,fantasy,mariah carey,1995
3008,8,take a bow,madonna,1995
3009,9,dont take it personal just one of dem days,monica,1995
3010,10,this is how we do it,montell jordan,1995
3011,11,i know,dionne farris,1995
3012,12,water runs dry,boyz ii men,1995
3013,13,freak like me,adina howard,1995
3014,14,runaround,blues traveler,1995
3015,15,i can love you like that,all4one,1995
3016,16,have you ever really loved a woman,bryan adams,1995
3017,17,always,bon jovi,1995
3018,18,boombastic,shaggy,1995
3019,19,total eclipse of the heart,nicki french,1995
3020,20,you gotta be,desree,1995
3021,21,you are not alone,michael jackson,1995
3022,22,hold my hand,hootie  the blowfish,1995
3023,23,one more chance,the notorious big,1995
3024,24,here comes the hotstepper,ini kamoze,1995
3025,25,candy rain,soul for real,1995
3026,26,let her cry,hootie  the blowfish,1995
3027,27,i believe,blessid union of souls,1995
3028,28,red light special,tlc,1995
3029,29,runaway,janet jackson,1995
3030,30,strong enough,sheryl crow,1995
3031,31,colors of the wind,vanessa williams,1995
3032,32,someone to love,jon b,1995
3033,33,only wanna be with you,hootie  the blowfish,1995
3034,34,if you love me,brownstone,1995
3035,35,in the house of stone and light,martin page,1995
3036,36,i got 5 on it,luniz,1995
3037,37,baby,brandy,1995
3038,38,run away,real mccoy,1995
3039,39,as i lay me down,sophie b hawkins,1995
3040,40,hes mine,mokenstef,1995
3041,41,december,collective soul,1995
3042,42,ill be there for youyoure all i need to get by,method man featuring mary j blige,1995
3043,43,shy guy,diana king,1995
3044,44,im the only one,melissa etheridge,1995
3045,45,every little thing i do,soul for real,1995
3046,46,before i let you go,blackstreet,1995
3047,47,big poppa,the notorious big,1995
3048,48,sukiyaki,4:00 PM,1995
3049,49,i wanna be down,brandy,1995
3050,50,ill make love to you,boyz ii men,1995
3051,51,dear mama,2pac,1995
3052,52,hold on,jamie walters,1995
3053,53,keep their heads ringin,dr dre,1995
3054,54,the rhythm of the night,corona,1995
3055,55,roll to me,del amitri,1995
3056,56,scream,michael jackson and janet jackson,1995
3057,57,freekn you,jodeci,1995
3058,58,i wish,skeelo,1995
3059,59,believe,elton john,1995
3060,60,carnival,natalie merchant,1995
3061,61,you dont know how it feels,tom petty,1995
3062,62,back for good,take that,1995
3063,63,tootsee roll,69 boyz,1995
3064,64,you want this,janet jackson,1995
3065,65,tell me,groove theory,1995
3066,66,cant you see,total featuring the notorious big,1995
3067,67,all i wanna do,sheryl crow,1995
3068,68,this lil game we play,subway featuring 702,1995
3069,69,come and get your love,real mccoy,1995
3070,70,this aint a love song,bon jovi,1995
3071,71,secret,madonna,1995
3072,72,players anthem,junior mafia featuring the notorious big,1995
3073,73,feel me flow,naughty by nature,1995
3074,74,every day of the week,jade,1995
3075,75,the sweetest days,vanessa williams,1995
3076,76,short dick man,20 fingers featuring gillette,1995
3077,77,brokenhearted,brandy featuring wanya morris,1995
3078,78,no more i love yous,annie lennox,1995
3079,79,you used to love me,faith evans,1995
3080,80,constantly,immature,1995
3081,81,hold me thrill me kiss me kill me,u2,1995
3082,82,100 pure love,crystal waters,1995
3083,83,ask of you,raphael saadiq,1995
3084,84,sugar hill,az,1995
3085,85,good,better than ezra,1995
3086,86,brown sugar,dangelo,1995
3087,87,turn the beat around,gloria estefan,1995
3088,88,til you do me right,after 7,1995
3089,89,1st of tha month,bone thugsnharmony,1995
3090,90,like the way i do,melissa etheridge,1995
3091,91,i live my life for you,firehouse,1995
3092,92,dream about you,stevie b,1995
3093,93,cotton eye joe,rednex,1995
3094,94,thank you,boyz ii men,1995
3095,95,ill stand by you,the pretenders,1995
3096,96,i miss you,n ii u,1995
3097,97,give it 2 you,da brat,1995
3098,98,best friend,brandy,1995
3099,99,misery,soul asylum,1995
3100,100,cant stop lovin you,van halen,1995
3101,1,macarena bayside boys mix,los del r'io,1996
3102,2,one sweet day,mariah carey and boyz ii men,1996
3103,3,because you loved me,celine dion,1996
3104,4,nobody knows,the tony rich project,1996
3105,5,always be my baby,mariah carey,1996
3106,6,give me one reason,tracy chapman,1996
3107,7,tha crossroads,bone thugsnharmony,1996
3108,8,i love you always forever,donna lewis,1996
3109,9,youre makin me high  let it flow,toni braxton,1996
3110,10,twisted,keith sweat,1996
3111,11,cmon n ride it the train,quad city djs,1996
3112,12,missing,everything but the girl,1996
3113,13,ironic,alanis morissette,1996
3114,14,exhale shoop shoop,whitney houston,1996
3115,15,follow you down  til i hear it from you,gin blossoms,1996
3116,16,sittin up in my room,brandy,1996
3117,17,how do u want it  california love,2pac featuring kci  jojo  featuring dr dre,1996
3118,18,its all coming back to me now,celine dion,1996
3119,19,change the world,eric clapton,1996
3120,20,hey lover,ll cool j,1996
3121,21,loungin,ll cool j,1996
3122,22,insensitive,jann arden,1996
3123,23,be my lover,la bouche,1996
3124,24,name,goo goo dolls,1996
3125,25,who will save your soul,jewel,1996
3126,26,where do you go,no mercy,1996
3127,27,i cant sleep baby if i,r kelly,1996
3128,28,counting blue cars,dishwalla,1996
3129,29,you learn  you oughta know,alanis morissette,1996
3130,30,one of us,joan osborne,1996
3131,31,wonder,natalie merchant,1996
3132,32,not gon cry,mary j blige,1996
3133,33,gangstas paradise,coolio featuring lv,1996
3134,34,only you,112 featuring the notorious big and mase,1996
3135,35,down low nobody has to know,r kelly featuring the isley brothers,1996
3136,36,youre the one,swv,1996
3137,37,sweet dreams,la bouche,1996
3138,38,before you walk out of my life  like this and like that,monica,1996
3139,39,breakfast at tiffanys,deep blue something,1996
3140,40,1 2 3 4 sumpin new,coolio,1996
3141,41,the world i know,collective soul,1996
3142,42,no diggity,blackstreet featuring dr dre,1996
3143,43,anything,3t,1996
3144,44,1979,the smashing pumpkins,1996
3145,45,diggin on you,tlc,1996
3146,46,why i love you so much  aint nobody,monica,1996
3147,47,kissin you,total,1996
3148,48,count on me,whitney houston featuring cece winans,1996
3149,49,fantasy,mariah carey,1996
3150,50,time,hootie  the blowfish,1996
3151,51,youll see,madonna,1996
3152,52,last night,az yet,1996
3153,53,mouth,merril bainbridge,1996
3154,54,the earth the sun the rain,color me badd,1996
3155,55,all the things your man wont do,joe,1996
3156,56,wonderwall,oasis,1996
